Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 232,Galaxy,14.5,86800,Cetus,42,0,42,10.5,-23°33',-23,-33,-23.55,0.183259571,-0.411025039,
NGC 329,Galaxy,13.3,87200,Cetus,58,0,58,14.5,-05°04',-5,-4,-5.066666667,0.253072742,-0.088430015,
NGC 564,Galaxy,12.5,87200,Cetus,127,1,27,21.75,-01°52',-1,-52,-1.866666667,0.379609112,-0.032579479,
NGC 340,Galaxy,14.5,87700,Cetus,100,1,0,15,-06°51',-6,-51,-6.85,0.261799388,-0.119555054,
NGC 926,Galaxy,13.2,87700,Cetus,226,2,26,36.5,-00°19',0,-19,-0.316666667,0.637045177,-0.005526876,
NGC 359,Galaxy,14.4,87800,Cetus,104,1,4,16,-00°45',0,-45,-0.75,0.27925268,-0.013089969,
NGC 181,Galaxy,15.5,88450,Andromeda,38,0,38,9.5,+29°28',29,28,29.46666667,0.165806279,0.514290353,
NGC 375,Galaxy,14.3,89100,Pisces,107,1,7,16.75,+32°20',32,20,32.33333333,0.29234265,0.564323125,
NGC 83,Galaxy,12.6,89400,Andromeda,21,0,21,5.25,+22°26',22,26,22.43333333,0.091629786,0.391535529,
NGC 86,Galaxy,14.8,89600,Andromeda,21,0,21,5.25,+22°33',22,33,22.55,0.091629786,0.393571746,
NGC 911,Galaxy,13.9,90050,Andromeda,225,2,25,36.25,+41°57',41,57,41.95,0.632681854,0.732165621,
NGC 707,Galaxy,14.6,90100,Cetus,151,1,51,27.75,-08°30',-8,-30,-8.5,0.484328867,-0.148352986,
NGC 642,Galaxy,13.5,90200,Sculptor,139,1,39,24.75,-29°54',-29,-54,-29.9,0.43196899,-0.521853446,
NGC 641,Galaxy,12.2,90700,Phoenix,138,1,38,24.5,-42°31',-42,-31,-42.51666667,0.427605667,-0.74205582,
NGC 852,Galaxy,14.2,91100,Eridanus,208,2,8,32,-56°44',-56,-44,-56.73333333,0.558505361,-0.990183462,
NGC 866,Duplicate,–,91150,Cetus,214,2,14,33.5,-00°46',0,-46,-0.766666667,0.584685299,-0.013380858,
NGC 885,Duplicate,–,91150,Cetus,214,2,14,33.5,-00°46',0,-46,-0.766666667,0.584685299,-0.013380858,
NGC 71,Galaxy,14.1,92500,Andromeda,18,0,18,4.5,+30°03',30,3,30.05,0.078539816,0.52447144,
